municipio,edad_cty1,edad_cty2,sexo_cty1,sexo_cty2,año_matrimonio,mes_matrimonio,dia_matrimonio
29,34.0,28.0,M,F,2019,9,6
35,21.0,19.0,M,F,2019,9,6
55,21.0,19.0,M,F,2019,9,6
35,57.0,58.0,M,F,2019,11,15
30,44.0,37.0,M,F,2019,11,15
30,33.0,29.0,M,F,2019,11,15
55,29.0,32.0,M,F,2019,11,15
42,30.0,28.0,M,F,2019,11,15
29,37.0,42.0,M,F,2019,11,11
42,42.0,46.0,M,F,2019,11,15
35,30.0,24.0,M,F,2019,11,13
33,22.0,24.0,M,F,2019,11,19
30,31.0,32.0,M,F,2019,11,19
29,36.0,43.0,M,F,2019,11,19
43,23.0,21.0,M,F,2019,11,19
25,31.0,23.0,M,F,2019,6,28
30,27.0,29.0,M,F,2019,6,29
55,25.0,24.0,M,F,2019,6,28
18,23.0,23.0,M,F,2019,6,28
30,23.0,21.0,M,F,2019,8,12
55,38.0,18.0,M,F,2019,8,12
55,26.0,26.0,M,F,2019,8,12
30,37.0,35.0,M,F,2019,8,12
47,27.0,20.0,M,F,2019,12,18
17,42.0,38.0,M,F,2019,12,18
55,78.0,67.0,M,F,2019,12,18
12,25.0,26.0,M,F,2019,12,18
18,30.0,34.0,M,F,2019,12,18
30,23.0,30.0,M,F,2019,12,18
30,28.0,29.0,M,F,2019,12,18
29,35.0,26.0,M,F,2019,12,28
55,27.0,30.0,M,F,2019,7,5
55,59.0,54.0,M,F,2019,8,16
30,31.0,25.0,M,F,2019,8,17
30,37.0,32.0,M,F,2019,8,16
30,33.0,57.0,M,F,2019,8,17
30,33.0,27.0,M,F,2019,8,16
55,27.0,33.0,M,F,2019,8,16
18,24.0,22.0,M,F,2019,8,16
21,24.0,25.0,M,F,2019,6,14
61,54.0,49.0,M,F,2019,6,15
30,24.0,23.0,M,F,2019,6,15
29,27.0,21.0,M,F,2019,6,23
30,55.0,59.0,M,F,2019,8,1
18,30.0,21.0,M,F,2019,11,22
30,29.0,28.0,M,F,2019,11,22
36,23.0,28.0,M,F,2019,11,22
35,24.0,26.0,M,F,2019,11,22
30,51.0,51.0,M,F,2019,12,13
29,34.0,33.0,M,F,2019,12,26
55,24.0,20.0,M,F,2019,12,26
42,51.0,37.0,M,F,2019,12,28
48,33.0,26.0,M,F,2019,9,12
35,29.0,25.0,M,F,2019,9,12
30,35.0,19.0,M,F,2019,9,12
30,23.0,28.0,M,F,2019,9,12
30,34.0,34.0,M,F,2019,9,12
42,48.0,40.0,M,F,2019,9,12
30,27.0,24.0,M,F,2019,9,12
30,37.0,26.0,M,F,2019,9,12
55,53.0,60.0,M,F,2019,11,6
55,58.0,59.0,M,F,2019,11,6
30,31.0,27.0,M,F,2019,11,6
30,40.0,39.0,M,F,2019,11,6
35,64.0,59.0,M,F,2019,6,8
31,29.0,25.0,M,F,2019,6,8
29,25.0,18.0,M,F,2019,6,15
18,27.0,22.0,M,F,2019,11,22
47,53.0,38.0,M,F,2019,11,22
30,27.0,28.0,M,F,2019,11,23
55,60.0,63.0,M,F,2019,11,22
